/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('forward', 'forward', 'red', 'left')
 -- forward : 1.37
 -- right : 0.96
 -- None : -3.54
 -- left : 0.96

('right', 'right', 'red', None)
 -- forward : -7.54
 -- right : 0.00
 -- None : 0.44
 -- left : -14.90

('forward', 'forward', 'green', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'right', 'green', 'forward')
 -- forward : 0.00
 -- right : 1.26
 -- None : 0.00
 -- left : 0.00

('right', 'left', 'green', 'left')
 -- forward : 0.00
 -- right : 1.05
 -- None : 0.00
 -- left : 0.00

('left', None, 'green', 'forward')
 -- forward : 0.00
 -- right : 0.59
 -- None : 0.00
 -- left : 0.00

('left', 'right', 'green', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : -4.06
 -- left : 0.00

('left', None, 'red', 'left')
 -- forward : 0.00
 -- right : 0.94
 -- None : 0.00
 -- left : -7.56

('forward', None, 'red', 'left')
 -- forward : -9.12
 -- right : 0.25
 -- None : 1.83
 -- left : -10.13

('left', 'forward', 'red', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.35
 -- left : 0.00

('forward', 'forward', 'red', 'right')
 -- forward : 0.00
 -- right : -16.55
 -- None : 0.00
 -- left : 0.00

('left', 'left', 'green', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : -4.58
 -- left : -15.46

('forward', 'forward', 'green', None)
 -- forward : 0.00
 -- right : 1.43
 -- None : -3.79
 -- left : -0.00

('forward', 'right', 'red', 'left')
 -- forward : 0.00
 -- right : -0.33
 -- None : 2.18
 -- left : 0.00

('right', 'right', 'red', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'left', 'green', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 1.61

('left', 'right', 'green', None)
 -- forward : 0.13
 -- right : 0.78
 -- None : -4.54
 -- left : 0.00

('forward', 'right', 'red', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -31.62

('left', None, 'green', None)
 -- forward : 0.00
 -- right : 0.08
 -- None : -4.77
 -- left : 1.50

('right', 'forward', 'red', None)
 -- forward : 0.00
 -- right : -15.50
 -- None : 0.22
 -- left : 0.00

('left', 'forward', 'green', 'forward')
 -- forward : 0.09
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'right', 'red', 'forward')
 -- forward : -8.31
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'right', 'green', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : -3.31
 -- left : 0.00

('right', 'left', 'red', None)
 -- forward : -8.00
 -- right : 1.57
 -- None : 0.00
 -- left : -8.25

('right', None, 'green', 'right')
 -- forward : -0.07
 -- right : 0.00
 -- None : -3.66
 -- left : 0.00

('forward', 'left', 'green', None)
 -- forward : 2.23
 -- right : 0.00
 -- None : -5.27
 -- left : 0.00

('left', None, 'green', 'left')
 -- forward : 1.30
 -- right : -0.16
 -- None : -4.39
 -- left : 0.00

('right', 'forward', 'red', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.16
 -- left : -32.38

('left', 'forward', 'green', 'left')
 -- forward : 0.00
 -- right : 1.05
 -- None : -5.15
 -- left : 0.00

('right', None, 'green', None)
 -- forward : 0.12
 -- right : 0.00
 -- None : -3.92
 -- left : 0.38

('right', 'left', 'red', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -32.16

('right', None, 'red', 'forward')
 -- forward : 0.00
 -- right : 2.10
 -- None : 0.00
 -- left : -8.46

('forward', 'left', 'red', None)
 -- forward : -8.06
 -- right : 0.00
 -- None : 1.30
 -- left : 0.00

('forward', 'left', 'green', 'forward')
 -- forward : 0.86
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'right', 'red', None)
 -- forward : -8.32
 -- right : 0.00
 -- None : 1.45
 -- left : 0.00

('forward', 'forward', 'red', None)
 -- forward : -39.54
 -- right : -15.56
 -- None : 1.42
 -- left : -31.29

('forward', None, 'red', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 1.49
 -- left : 0.00

('left', None, 'green', 'right')
 -- forward : 1.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'right', 'green', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'right', 'red', None)
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -9.03

('right', 'left', 'green', 'forward')
 -- forward : 0.00
 -- right : 0.79
 -- None : -3.57
 -- left : 0.00

('right', 'right', 'green', 'left')
 -- forward : 0.00
 -- right : 1.66
 -- None : 0.00
 -- left : 0.00

('forward', None, 'green', None)
 -- forward : 1.35
 -- right : -0.04
 -- None : -3.88
 -- left : 0.00

('forward', 'forward', 'green', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', None, 'green', 'forward')
 -- forward : 2.19
 -- right : 0.27
 -- None : -4.18
 -- left : 0.00

('forward', None, 'green', 'right')
 -- forward : 0.00
 -- right : 0.01
 -- None : -4.19
 -- left : 0.00

('forward', 'forward', 'red', 'forward')
 -- forward : -31.24
 -- right : 0.00
 -- None : 0.00
 -- left : -32.30

('right', 'forward', 'green', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -16.48

('right', 'forward', 'green', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : -3.81
 -- left : 0.00

('right', 'right', 'red', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.97
 -- left : 0.00

('right', None, 'red', None)
 -- forward : -8.15
 -- right : 1.67
 -- None : 0.30
 -- left : -8.77

('right', 'forward', 'red', 'left')
 -- forward : 0.00
 -- right : -15.75
 -- None : 0.37
 -- left : 0.00

('right', 'right', 'red', 'left')
 -- forward : -31.91
 -- right : 0.00
 -- None : 1.44
 -- left : 0.00

('forward', None, 'red', None)
 -- forward : -9.38
 -- right : 0.00
 -- None : 2.16
 -- left : -9.59

('right', 'left', 'green', None)
 -- forward : 0.12
 -- right : 1.57
 -- None : -4.47
 -- left : 0.00

('left', None, 'red', None)
 -- forward : -31.27
 -- right : -0.39
 -- None : 2.04
 -- left : -7.82

('right', 'forward', 'green', None)
 -- forward : -0.26
 -- right : 0.00
 -- None : 0.00
 -- left : 0.25

('left', 'right', 'green', 'forward')
 -- forward : 1.54
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'forward', 'red', None)
 -- forward : -38.63
 -- right : -19.51
 -- None : 0.00
 -- left : -31.51

('left', 'forward', 'green', None)
 -- forward : 0.65
 -- right : -0.02
 -- None : -5.05
 -- left : 1.18

('left', 'left', 'red', 'right')
 -- forward : 0.00
 -- right : 0.22
 -- None : 0.00
 -- left : 0.00

('forward', 'forward', 'green', 'left')
 -- forward : 0.00
 -- right : 0.71
 -- None : 0.00
 -- left : 0.00

('right', 'left', 'red', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.11
 -- left : 0.00

('right', 'forward', 'green', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.19

